Epoch,Precision,Recall,F1-Score
1,0.7017374196592956,0.7016369047619048,0.7015997355644255
2,0.8252090568673484,0.8247767857142857,0.8247185392436295
3,0.8850136529664173,0.8846726190476191,0.8846470749794013
4,0.9292033065665767,0.9281994047619048,0.9281573949965372
5,0.9443980888680783,0.9434523809523809,0.9434222806896075
6,0.9411365511368173,0.9404761904761905,0.9404539060509732
7,0.9528816793363859,0.9520089285714286,0.9519857964627688
8,0.9617089358128468,0.9601934523809523,0.9601607609480824
9,0.9652119724975643,0.9639136904761905,0.9638884960922001
10,0.9664438101795809,0.9650297619047619,0.965003238286351
11,0.9686067583413281,0.9672619047619048,0.9672383991490493
12,0.9668555920411438,0.9654017857142857,0.9653748296851996
13,0.9699530224586393,0.96875,0.9687299881452266
14,0.9683914360869709,0.9672619047619048,0.9672421557825605
15,0.9683483357407158,0.9668898809523809,0.9668640843223955
16,0.9709676595947753,0.9698660714285714,0.9698484403871478
17,0.9689426218359569,0.9676339285714286,0.9676113315466123
18,0.9695448614671501,0.9683779761904762,0.9683583176784467
19,0.9696157528828941,0.9683779761904762,0.9683571257334762
20,0.9713748210302002,0.9702380952380952,0.9702201416205095
21,0.9710366640452823,0.9698660714285714,0.9698473380229904
22,0.971444936815651,0.9702380952380952,0.9702190363287871
23,0.9699530224586393,0.96875,0.9687299881452266
24,0.9696887517036353,0.9683779761904762,0.9683558986374949
25,0.97002502448047,0.96875,0.9687287928553978
