Epoch,Precision,Recall,F1-Score
1,0.7105673413348687,0.7105654761904762,0.710564835257306
2,0.784531146087342,0.7842261904761905,0.7841683593118374
3,0.834540390589832,0.8340773809523809,0.8340199511438985
4,0.8844606715909872,0.8839285714285714,0.8838883963159109
5,0.9177807723678145,0.9174107142857143,0.9173924214368615
6,0.9323150576578825,0.9311755952380952,0.9311302148316832
7,0.9418817708787085,0.9408482142857143,0.9408136052044013
8,0.9547158802244294,0.9538690476190477,0.9538475598104676
9,0.9612196395055695,0.9598214285714286,0.9597909546268711
10,0.9637197127622071,0.9624255952380952,0.9623993619104351
11,0.9607351932914929,0.9594494047619048,0.9594210935469052
12,0.9608020451685778,0.9598214285714286,0.9598000415426159
13,0.9666316972648933,0.9654017857142857,0.9653789728613327
14,0.9683914360869709,0.9672619047619048,0.9672421557825605
15,0.9670407386107527,0.9657738095238095,0.96575058265115
16,0.9702218675764146,0.9691220238095238,0.9691039574337439
17,0.9681237250738937,0.9668898809523809,0.9668680492974043
18,0.9671080624537132,0.9661458333333334,0.9661283896985483
19,0.9678605692356891,0.9665178571428571,0.9664938173115277
20,0.9688697389783938,0.9676339285714286,0.9676125875154403
21,0.9644673429720159,0.9635416666666666,0.9635234923863267
22,0.969476075558054,0.9683779761904762,0.9683594744803402
23,0.9677311743692901,0.9668898809523809,0.9668749857209024
24,0.9658856833603929,0.9646577380952381,0.9646344346432967
