Epoch,Precision,Recall,F1-Score
1,0.661406252197269,0.6588541666666666,0.6575003025657435
2,0.8137977809081253,0.8128720238095238,0.8127339070625199
3,0.8538042404114076,0.8537946428571429,0.8537936513318833
4,0.8755984638113232,0.8753720238095238,0.8753532371157997
5,0.8787210767455816,0.8787202380952381,0.8787201709538929
6,0.8980734097326025,0.8980654761904762,0.8980649683030812
7,0.9068673151097881,0.9066220238095238,0.9066079478091512
8,0.9334196248093904,0.9330357142857143,0.9330208822461039
9,0.94133849285545,0.9412202380952381,0.9412163003850593
10,0.946651113636817,0.9464285714285714,0.946421897657453
11,0.9421561937845047,0.9419642857142857,0.9419579877528874
12,0.9527428787982882,0.9523809523809523,0.9523714337130913
13,0.9447223282130973,0.9445684523809523,0.9445636570778739
14,0.9524621098863132,0.9523809523809523,0.9523788169444514
15,0.9504041406693137,0.9501488095238095,0.9501417434443657
16,0.949214031624822,0.9490327380952381,0.9490275952420995
17,0.9452964498706846,0.9449404761904762,0.9449294702307618
18,0.9524811510485423,0.9523809523809523,0.9523783160118611
19,0.9491045914087506,0.9490327380952381,0.9490306994202813
20,0.9517009213323885,0.9516369047619048,0.9516351911561494
21,0.9496596710153147,0.9494047619047619,0.9493975903614457
22,0.9507926062195367,0.9505208333333334,0.9505133747355264
23,0.9531500866996341,0.953125,0.9531243512329827
24,0.9498188705695542,0.9497767857142857,0.9497756109713604
25,0.9502923976608186,0.9501488095238095,0.9501448351005873
26,0.9494405910335113,0.9494047619047619,0.949403753529314
