Epoch,Precision,Recall,F1-Score
1,0.6857708582101882,0.6857443820224719,0.6857331846429736
2,0.8050211803793543,0.8044241573033708,0.8043284094812778
3,0.841236760918845,0.8405898876404494,0.8405143044629135
4,0.8878419663420271,0.8865870786516854,0.8864952656800019
5,0.9183047098858735,0.9174859550561798,0.9174455587578103
6,0.9152527658437772,0.9139747191011236,0.9139084769230523
7,0.933572959421734,0.9325842696629213,0.9325458151996923
8,0.9519457576363733,0.9501404494382022,0.9500906083719074
9,0.9508478681571811,0.9497893258426966,0.949759836217145
10,0.9580825071915994,0.956811797752809,0.9567818262190304
11,0.9562883845126835,0.9550561797752809,0.9550258166301243
12,0.9578343288690858,0.9564606741573034,0.9564279915410449
13,0.9573783065656323,0.9561095505617978,0.9560790916860065
14,0.9574433385060938,0.9564606741573034,0.9564372791654558
15,0.9618172732737487,0.9603230337078652,0.9602909133803103
16,0.9620604919048005,0.9606741573033708,0.960644637520944
17,0.9594236585680613,0.9582162921348315,0.9581888221669119
18,0.9590736641880521,0.9575140449438202,0.9574779296946094
19,0.9626257231864709,0.961376404494382,0.9613503111665129
20,0.95931484295846,0.9578651685393258,0.9578318961432768
21,0.9580545548121462,0.9564606741573034,0.9564227655117543
22,0.9578343288690858,0.9564606741573034,0.9564279915410449
23,0.959559996379548,0.9582162921348315,0.958185727020083
24,0.9606517708928958,0.9592696629213483,0.9592390888609776
25,0.9609686093952707,0.9596207865168539,0.9595912488009204
