Epoch,Precision,Recall,F1-Score
1,0.6939244147967266,0.6934691011235955,0.6932890700529204
2,0.8152435167615434,0.8146067415730337,0.8145130731337626
3,0.8405898876404494,0.8405898876404494,0.8405898876404494
4,0.8736174880328333,0.8732443820224719,0.8732127285971687
5,0.8819291978363676,0.8816713483146067,0.8816513733186103
6,0.896686351754608,0.8964185393258427,0.8964010537952227
7,0.8982946367956551,0.8978230337078652,0.897792778943809
8,0.9214449892585325,0.9206460674157303,0.9206084423097322
9,0.9246610956726705,0.9245084269662921,0.9245016414160874
10,0.9240648736208924,0.9234550561797753,0.9234275278274258
11,0.9325509720246562,0.9318820224719101,0.9318556757994112
12,0.9296548998439325,0.9294241573033708,0.9294146804907265
13,0.9370469056853283,0.9367977528089888,0.9367887438982346
14,0.939135107651568,0.9378511235955056,0.9378056611979384
15,0.9394690324088694,0.9385533707865169,0.9385213471176763
16,0.9420217597126758,0.9413623595505618,0.9413404827456662
17,0.9413672922119587,0.9406601123595506,0.9406363335308783
18,0.9368201729687435,0.9360955056179775,0.9360689908655188
19,0.9398197686619675,0.9392556179775281,0.9392361327362153
20,0.9416001011322066,0.9410112359550562,0.9409915643036852
21,0.9388809862494073,0.9382022471910112,0.938178345055136
22,0.9425886564216502,0.942064606741573,0.9420474519784483
23,0.9365454496048773,0.9357443820224719,0.9357148909827006
24,0.9445047637143399,0.9441713483146067,0.9441608773225455
25,0.9448392464808334,0.9445224719101124,0.9445125936229138
