Epoch,Precision,Recall,F1-Score
1,0.7033231223283656,0.7033005617977528,0.7032923312010942
2,0.8216393649591264,0.8216292134831461,0.8216278060519981
3,0.8567866161616162,0.8567415730337079,0.8567370514155859
4,0.8830987026885738,0.8830758426966292,0.8830740984169242
5,0.8889585140910699,0.8879915730337079,0.8879219172118451
6,0.8972594352572193,0.8967696629213483,0.8967378355139799
7,0.910119640585085,0.9101123595505618,0.9101119605950783
8,0.9251623129872104,0.9248595505617978,0.9248461711095163
9,0.9321283713769726,0.9318820224719101,0.9318723128680974
10,0.9326696182651862,0.9325842696629213,0.9325809448846859
11,0.9396145462436013,0.9396067415730337,0.9396064735248181
12,0.94243754919425,0.9424157303370787,0.9424150203846527
13,0.944287252614013,0.9441713483146067,0.9441677069751528
14,0.9517730832386003,0.9515449438202247,0.9515388257575758
15,0.9414252717773283,0.9413623595505618,0.9413602702071248
16,0.9523364190954219,0.952247191011236,0.9522448359599857
17,0.9462121511191821,0.9459269662921348,0.945918325070088
18,0.9449229637133666,0.944873595505618,0.9448720662704991
19,0.9458451822826073,0.9455758426966292,0.9455676219090321
20,0.951976531691834,0.9518960674157303,0.9518939263640828
21,0.9512314269974409,0.9511938202247191,0.9511928032957976
22,0.9524221111874147,0.952247191011236,0.9522425748922362
23,0.9504283289250326,0.9501404494382022,0.9501324815581331
24,0.94876782374711,0.9487359550561798,0.9487350449268643
25,0.9477622982961061,0.9476825842696629,0.9476802556806448
26,0.9464896894881871,0.9462780898876404,0.9462717241853811
27,0.9486257621428469,0.9483848314606742,0.9483779006573972
28,0.956018395160415,0.9557584269662921,0.9557521207287643
29,0.9520139874420828,0.9518960674157303,0.9518929299094083
30,0.9506304661073596,0.9504915730337079,0.95048775787472
31,0.9495659037095502,0.949438202247191,0.9494346114087765
32,0.954386200257246,0.9543539325842697,0.9543531221951531
33,0.9471410875031511,0.9469803370786517,0.946975571413159
