Epoch,Precision,Recall,F1-Score
1,0.7142899850523169,0.7142857142857143,0.7142842907181257
2,0.8240415282842649,0.8240327380952381,0.8240315447327756
3,0.8683435392605224,0.8683035714285714,0.8682999988373942
4,0.8980286068101163,0.8976934523809523,0.8976719113965
5,0.912997156532577,0.9125744047619048,0.9125520264082693
6,0.9234390469166319,0.9233630952380952,0.9233596585199764
7,0.9457272996777778,0.9453125,0.9452997738128149
8,0.9566836951894422,0.9561011904761905,0.956087187666135
9,0.9616554118679675,0.9609375,0.9609223077492877
10,0.9627462808377761,0.9620535714285714,0.9620393651074953
11,0.9632079151742969,0.9627976190476191,0.9627893790256132
12,0.9621996983890251,0.9616815476190477,0.9616708053458528
13,0.9657269332103223,0.9650297619047619,0.9650166698049467
14,0.9663686675180928,0.9657738095238095,0.9657628920786815
15,0.9656742630704785,0.9650297619047619,0.9650176578644091
16,0.9670183994679672,0.9665178571428571,0.9665088833414919
17,0.9653814442478544,0.9646577380952381,0.9646439927255459
18,0.9689036424430157,0.9683779761904762,0.9683691112077426
19,0.9602709118838151,0.9598214285714286,0.9598116169544743
20,0.9663686675180928,0.9657738095238095,0.9657628920786815
21,0.9697464154750587,0.9691220238095238,0.9691117595694717
22,0.9657269332103223,0.9650297619047619,0.9650166698049467
23,0.964434346407022,0.9639136904761905,0.9639035739664827
24,0.9651338579884478,0.9646577380952381,0.964648691526747
25,0.9690533809012963,0.9683779761904762,0.968366588704596
26,0.9671136653895274,0.9665178571428571,0.9665071770334928
27,0.9714581159977305,0.9706101190476191,0.9705968974376548
28,0.9700446730443072,0.9694940476190477,0.9694851110888375
29,0.965442036951665,0.9650297619047619,0.9650220162840765
30,0.9625954706188823,0.9620535714285714,0.9620424552568464
31,0.9668180192766676,0.9661458333333334,0.9661336420249204
32,0.9663686675180928,0.9657738095238095,0.9657628920786815
33,0.964345816790467,0.9639136904761905,0.9639052929241023
34,0.9651338579884478,0.9646577380952381,0.964648691526747
35,0.9687075855828683,0.9680059523809523,0.967993974502398
36,0.9702531856140001,0.9694940476190477,0.96948173107437
37,0.9688198757763974,0.9680059523809523,0.9679920600459029
38,0.9690533809012963,0.9683779761904762,0.968366588704596
39,0.9683082603597535,0.9676339285714286,0.9676222731447043
40,0.9663686675180928,0.9657738095238095,0.9657628920786815
41,0.9674615478843785,0.9668898809523809,0.9668797551201798
42,0.9681130980716404,0.9676339285714286,0.9676256438192316
43,0.9651792290796873,0.9646577380952381,0.9646478301733593
44,0.9625954706188823,0.9620535714285714,0.9620424552568464
45,0.9672721828525801,0.9665178571428571,0.9665043389840646
46,0.9667165892423316,0.9661458333333334,0.9661354799543412
