Epoch,Precision,Recall,F1-Score
1,0.6495728826432192,0.6460674157303371,0.6439814573675712
2,0.7916523166487714,0.7910814606741573,0.7909791806846685
3,0.8366978636022588,0.836376404494382,0.836337340649497
4,0.8616687182400656,0.8616573033707865,0.8616562117804869
5,0.8827254740671042,0.8827247191011236,0.8827246612666592
6,0.8915076357994645,0.891502808988764,0.8915024745782897
7,0.9062742429062143,0.90625,0.9062486014333898
8,0.9196276694645462,0.9195926966292135,0.9195910212571053
9,0.9322811115478723,0.9322331460674157,0.9322312661796581
10,0.9299415093892822,0.9297752808988764,0.9297684924885824
11,0.9376243093922652,0.9375,0.9374955613247373
12,0.9382446068712456,0.9382022471910112,0.9382007538490141
13,0.945256338428275,0.9452247191011236,0.9452237466341838
14,0.9385899239842829,0.9385533707865169,0.9385520904803206
15,0.9470775673482675,0.9469803370786517,0.9469774542475751
16,0.9512047233182771,0.9511938202247191,0.9511935253798673
17,0.9530066287878789,0.9529494382022472,0.9529479531610012
18,0.9508569264274216,0.9508426966292135,0.9508423087544877
19,0.9421607677073597,0.942064606741573,0.9420614566281449
20,0.943518313472756,0.9434691011235955,0.9434675329270724
21,0.9421433204351355,0.942064606741573,0.9420620281027275
22,0.9442346609374068,0.9441713483146067,0.944169359059478
23,0.9516019570707072,0.9515449438202247,0.9515434144493894
24,0.9425414364640884,0.9424157303370787,0.9424116407711064
25,0.9452809343434344,0.9452247191011236,0.9452229902471356
26,0.9456024323664529,0.9455758426966292,0.9455750307946643
