Epoch,Precision,Recall,F1-Score
1,0.6924191464388926,0.6924157303370787,0.6924143651612834
2,0.789330979316875,0.7893258426966292,0.7893249076447145
3,0.8608746184463456,0.8606039325842697,0.8605777880317643
4,0.9135159961676363,0.9129213483146067,0.9128900316568881
5,0.9263016387066265,0.9259129213483146,0.9258960286734107
6,0.9172777880639389,0.9167837078651685,0.9167590673872259
7,0.9236908552089984,0.9231039325842697,0.9230772930683948
8,0.9493820027976566,0.9480337078651685,0.9479946995812473
9,0.9534365355410768,0.9518960674157303,0.951855176596376
10,0.957447076855964,0.9561095505617978,0.9560774443488266
11,0.9583690231071802,0.956811797752809,0.9567750855573303
12,0.9609686093952707,0.9596207865168539,0.9595912488009204
13,0.9607662397694211,0.9596207865168539,0.9595956754838939
14,0.961217425703407,0.9599719101123596,0.9599448679362043
15,0.9614232209737827,0.9596207865168539,0.9595813151449251
16,0.9638574152809622,0.9624297752808989,0.9624008450235372
17,0.9633015106732834,0.9617275280898876,0.9616949945182846
18,0.9630119115733691,0.9617275280898876,0.9617009679501977
19,0.9631530000717277,0.9617275280898876,0.9616980570800517
20,0.9648779339286103,0.9634831460674157,0.9634557348408763
21,0.9646353802044809,0.9631320224719101,0.963102176149846
22,0.961921574444939,0.9606741573033708,0.9606475895513586
23,0.9633015106732834,0.9617275280898876,0.9616949945182846
24,0.9613561313988481,0.9599719101123596,0.9599418631909606
25,0.9644203128253034,0.9631320224719101,0.9631064370162454
