Epoch,Precision,Recall,F1-Score
1,0.6976904810634735,0.6976825842696629,0.697679565204044
2,0.7981464246133269,0.7981039325842697,0.798096738737106
3,0.8470258004045188,0.8469101123595506,0.8468973523961991
4,0.8899362310595679,0.8893960674157303,0.8893577503038556
5,0.9168974610721279,0.9160814606741573,0.9160403767792197
6,0.9315695093847488,0.9308286516853933,0.9307989530346933
7,0.9439984946722575,0.9427668539325843,0.9427271355585524
8,0.9518126247930728,0.9504915730337079,0.9504553572254764
9,0.9577645895153314,0.9564606741573034,0.9564296472641205
10,0.9607976439992636,0.9592696629213483,0.9592358699863531
11,0.9624939937000586,0.961376404494382,0.9613530574853532
12,0.9615359512511329,0.9603230337078652,0.960296948780345
13,0.9621327254305977,0.9606741573033708,0.9606431030670585
14,0.9634692129167054,0.9620786516853933,0.9620501861809101
15,0.9659706609086658,0.9645365168539326,0.9645092088539929
16,0.9651245134512706,0.9638342696629213,0.9638091715492694
17,0.9673073679660232,0.9659410112359551,0.9659160968146894
18,0.9659706609086658,0.9645365168539326,0.9645092088539929
19,0.9687159809817459,0.9673455056179775,0.9673216185955268
20,0.96565507852077,0.964185393258427,0.9641571117217852
21,0.9654423181525985,0.964185393258427,0.9641611976271302
22,0.9653399069371641,0.9638342696629213,0.9638049918422298
23,0.9649902236328536,0.9638342696629213,0.9638117789116616
24,0.9659706609086658,0.9645365168539326,0.9645092088539929
25,0.966215628090999,0.9648876404494382,0.9648626187613876
26,0.9687159809817459,0.9673455056179775,0.9673216185955268
