Epoch,Precision,Recall,F1-Score
1,0.7220091315580672,0.7213541666666666,0.7211485017690407
2,0.8236845299693424,0.8232886904761905,0.8232346481133193
3,0.861280120657036,0.8612351190476191,0.8612307977211172
4,0.8865380878486595,0.8865327380952381,0.886532345492289
5,0.8824413230790352,0.8824404761904762,0.8824404111086814
6,0.8999630156015473,0.8999255952380952,0.8999232544540442
7,0.9070670626773245,0.9069940476190477,0.9069898768446316
8,0.9327554865883397,0.9322916666666666,0.9322735196461283
9,0.9301747873026139,0.9300595238095238,0.9300548384328555
10,0.9309648549560825,0.9308035714285714,0.9307970968354531
11,0.9346200529808366,0.9345238095238095,0.9345201845163089
12,0.9371053780503209,0.9367559523809523,0.9367433104001994
13,0.9495999007505738,0.9494047619047619,0.9493992713743121
14,0.9387445612958639,0.9386160714285714,0.9386115769054296
15,0.9420827398923056,0.9419642857142857,0.9419603978485396
16,0.9476539333682192,0.9475446428571429,0.9475414410408002
17,0.93975648807797,0.9397321428571429,0.9397313087281205
18,0.940555212257726,0.9404761904761905,0.9404735211805642
19,0.9446573180691871,0.9445684523809523,0.9445656827151012
20,0.9465086610720194,0.9464285714285714,0.9464261690625078
21,0.9482889386520219,0.9482886904761905,0.9482886833192555
22,0.9428740737458879,0.9427083333333334,0.9427029726487086
23,0.9461279246885601,0.9460565476190477,0.946054389897378
24,0.9361287635974598,0.9360119047619048,0.9360076181406976
25,0.9429005644811116,0.9427083333333334,0.9427021161150299
26,0.9405942458185942,0.9404761904761905,0.9404722029215792
27,0.9402116402116404,0.9401041666666666,0.9401005106919775
28,0.9490196643344866,0.9486607142857143,0.9486504519719264
29,0.9409187579282265,0.9408482142857143,0.9408458482322972
30,0.9416120647416893,0.9415922619047619,0.9415916071152011
31,0.9466224179641461,0.9464285714285714,0.9464227579257422
32,0.9518330128403947,0.9516369047619048,0.9516316564607394
33,0.93756201275691,0.9375,0.9374977854941006
34,0.9396251593272279,0.9393601190476191,0.9393509780593295
35,0.9407260351673284,0.9404761904761905,0.9404677533664066
36,0.9482889386520219,0.9482886904761905,0.9482886833192555
37,0.9458039750765843,0.9456845238095238,0.9456808851659408
38,0.9438305474527918,0.9438244047619048,0.9438242103912644
39,0.9468305268198969,0.9468005952380952,0.9467997043136246
40,0.9422816114878342,0.9419642857142857,0.9419538740606376
41,0.9410008024539918,0.9408482142857143,0.9408430971502145
42,0.9397944720056698,0.9397321428571429,0.9397300074407399
43,0.9429005644811116,0.9427083333333334,0.9427021161150299
44,0.9420827398923056,0.9419642857142857,0.9419603978485396
45,0.9368730106343156,0.9367559523809523,0.9367517156041778
46,0.9424070912883219,0.9423363095238095,0.9423340029937487
