Epoch,Precision,Recall,F1-Score
1,0.6803313383641253,0.6794241573033708,0.6790204746310381
2,0.811472588129751,0.8114466292134831,0.8114427005024698
3,0.8507740287715502,0.8507724719101124,0.8507723063285536
4,0.8687525155669199,0.8686797752808989,0.8686732988899607
5,0.8809185381723996,0.8806179775280899,0.8805944235307117
6,0.9028629342362755,0.9027387640449438,0.9027312690162936
7,0.9136439944054179,0.913623595505618,0.9136225305769792
8,0.9334058654144506,0.9325842696629213,0.9325523049711
9,0.9360714717545422,0.9357443820224719,0.9357323305033068
10,0.9361505681818183,0.9360955056179775,0.9360934886216582
11,0.945787109331636,0.9455758426966292,0.9455693937825757
12,0.9470070105614613,0.9469803370786517,0.9469795461289957
13,0.9485708717842457,0.9483848314606742,0.9483794791858167
14,0.9463417028074657,0.9462780898876404,0.946276175698743
15,0.9519016388106823,0.9518960674157303,0.9518959191495976
16,0.9481221046317999,0.9480337078651685,0.9480311450152784
17,0.9428299663573675,0.9427668539325843,0.9427648146333014
18,0.9477322641945873,0.9476825842696629,0.9476811329573528
19,0.952981606129712,0.9529494382022472,0.952948602878081
20,0.955088497321013,0.9550561797752809,0.9550553818536893
21,0.9470775673482675,0.9469803370786517,0.9469774542475751
22,0.9519141192339085,0.9518960674157303,0.9518955870301441
23,0.9582219414513913,0.9582162921348315,0.9582161633489207
24,0.9548237091977445,0.9547050561797753,0.9547021018855013
25,0.9564831856766073,0.9564606741573034,0.9564601373640059
26,0.9550786220283713,0.9550561797752809,0.9550556256660704
27,0.9488856001183957,0.9487359550561798,0.9487316822244153
28,0.9502123848061508,0.9501404494382022,0.9501384577069036
29,0.9540084063575853,0.954002808988764,0.9540026672160387
30,0.9568769121577598,0.956811797752809,0.9568102588950679
31,0.9582273649263437,0.9582162921348315,0.9582160397136994
32,0.9599800763411482,0.9599719101123596,0.9599717324524958
33,0.9476934025142439,0.9476825842696629,0.9476822682129513
34,0.9550642587313954,0.9550561797752809,0.9550559802975391
35,0.9589368716695558,0.9589185393258427,0.9589181290695391
36,0.9523364190954219,0.952247191011236,0.9522448359599857
37,0.9512314269974409,0.9511938202247191,0.9511928032957976
